region,date,positivity_rate,test_count
TX,2025-04-22,0.16266173752310537,541
TX,2025-04-23,0.1614785992217899,514
TX,2025-04-24,0.15520628683693516,509
TX,2025-04-25,0.15073529411764705,544
TX,2025-04-26,0.149812734082397,534
TX,2025-04-27,0.15780141843971632,564
TX,2025-04-28,0.1524822695035461,
TX,2025-04-29,0.1601423487544484,562
TX,2025-04-30,0.15412186379928317,558
TX,2025-05-01,0.148975791433892,537
TX,2025-05-02,0.16472868217054262,516
TX,2025-05-03,0.166,500
TX,2025-05-04,0.1524008350730689,479
TX,2025-05-05,0.16,450
TX,2025-05-06,0.15081206496519722,431
TX,2025-05-07,0.1650943396226415,424
TX,2025-05-08,,
TX,2025-05-09,0.16666666666666666,414
TX,2025-05-10,0.16981132075471697,424
TX,2025-05-11,0.1792452830188679,
TX,2025-05-12,0.16279069767441862,430
TX,2025-05-13,0.17782909930715934,433
TX,2025-05-14,0.17180616740088106,454
TX,2025-05-15,0.18181818181818182,451
TX,2025-05-16,0.185589519650655,458
TX,2025-05-17,0.18161925601750548,457
TX,2025-05-18,0.1826086956521739,460
TX,2025-05-20,0.1777301927194861,467
TX,2025-05-21,0.17607223476297967,443
TX,2025-05-22,0.17701149425287357,435
TX,2025-05-23,0.17548076923076922,416
TX,2025-05-24,0.18204488778054864,401
TX,2025-05-26,0.18944099378881987,322
TX,2025-05-27,0.1786833855799373,319
TX,2025-05-28,0.18181818181818182,330
TX,2025-05-29,0.1686746987951807,332
TX,2025-05-30,0.1608187134502924,342
TX,2025-05-31,0.1511627906976744,344
TX,2025-06-01,0.1466275659824047,341
TX,2025-06-02,0.1488833746898263,403
TX,2025-06-03,0.16243654822335024,394
TX,2025-06-04,0.17223650385604114,389
TX,2025-06-05,0.18227848101265823,395
TX,2025-06-06,0.17232375979112272,383
TX,2025-06-07,0.17766497461928935,394
TX,2025-06-08,0.18134715025906736,386
TX,2025-06-09,0.18733509234828497,379
TX,2025-06-10,0.19518716577540107,374
TX,2025-06-11,0.18406593406593408,364
TX,2025-06-12,0.1794871794871795,351
TX,2025-06-13,0.18233618233618235,
TX,2025-06-14,0.1826086956521739,345
TX,2025-06-15,0.18181818181818182,363
TX,2025-06-16,0.19834710743801653,
TX,2025-06-17,0.19382022471910113,356
TX,2025-06-18,0.2096317280453258,353
TX,2025-06-19,0.20221606648199447,361
TX,2025-06-20,0.20821917808219179,365
TX,2025-06-21,0.21212121212121213,363
TX,2025-06-22,0.23076923076923078,364
TX,2025-06-23,0.21983914209115282,373
TX,2025-06-24,0.21657754010695188,374
TX,2025-06-25,0.22459893048128343,
TX,2025-06-26,0.23655913978494625,372
